Port,Service,Status,Risk Level
412,Unknown Service,CLOSED,UNKNOWN
413,Unknown Service,CLOSED,UNKNOWN
414,Unknown Service,CLOSED,UNKNOWN
415,Unknown Service,CLOSED,UNKNOWN
416,Unknown Service,CLOSED,UNKNOWN
417,Unknown Service,CLOSED,UNKNOWN
418,Unknown Service,CLOSED,UNKNOWN
419,Unknown Service,CLOSED,UNKNOWN
420,Unknown Service,CLOSED,UNKNOWN
421,Unknown Service,CLOSED,UNKNOWN
422,Unknown Service,CLOSED,UNKNOWN
423,Unknown Service,CLOSED,UNKNOWN
424,Unknown Service,CLOSED,UNKNOWN
425,Unknown Service,CLOSED,UNKNOWN
426,Unknown Service,CLOSED,UNKNOWN
427,Unknown Service,CLOSED,UNKNOWN
428,Unknown Service,CLOSED,UNKNOWN
429,Unknown Service,CLOSED,UNKNOWN
430,Unknown Service,CLOSED,UNKNOWN
431,Unknown Service,CLOSED,UNKNOWN
432,Unknown Service,CLOSED,UNKNOWN
433,Unknown Service,CLOSED,UNKNOWN
434,Unknown Service,CLOSED,UNKNOWN
435,Unknown Service,CLOSED,UNKNOWN
436,Unknown Service,CLOSED,UNKNOWN
437,Unknown Service,CLOSED,UNKNOWN
438,Unknown Service,CLOSED,UNKNOWN
439,Unknown Service,CLOSED,UNKNOWN
440,Unknown Service,CLOSED,UNKNOWN
441,Unknown Service,CLOSED,UNKNOWN
442,Unknown Service,CLOSED,UNKNOWN
443,HTTPS,CLOSED,LOW
444,SNPP,CLOSED,UNKNOWN
445,SMB,CLOSED,HIGH
446,Unknown Service,CLOSED,UNKNOWN
447,Unknown Service,CLOSED,UNKNOWN
448,Unknown Service,CLOSED,UNKNOWN
449,Unknown Service,CLOSED,UNKNOWN
450,Unknown Service,CLOSED,UNKNOWN
451,Unknown Service,CLOSED,UNKNOWN
452,Unknown Service,CLOSED,UNKNOWN
453,Unknown Service,CLOSED,UNKNOWN
454,Unknown Service,CLOSED,UNKNOWN
455,Unknown Service,CLOSED,UNKNOWN
456,Unknown Service,CLOSED,UNKNOWN
457,Unknown Service,CLOSED,UNKNOWN
458,Unknown Service,CLOSED,UNKNOWN
459,Unknown Service,CLOSED,UNKNOWN
460,Unknown Service,CLOSED,UNKNOWN
461,Unknown Service,CLOSED,UNKNOWN
462,Unknown Service,CLOSED,UNKNOWN
463,Unknown Service,CLOSED,UNKNOWN
464,Kerberos Change/Password,CLOSED,UNKNOWN
465,SMTPS,CLOSED,LOW
466,Unknown Service,CLOSED,UNKNOWN
467,Unknown Service,CLOSED,UNKNOWN
468,Unknown Service,CLOSED,UNKNOWN
469,Unknown Service,CLOSED,UNKNOWN
470,Unknown Service,CLOSED,UNKNOWN
471,Unknown Service,CLOSED,UNKNOWN
472,Unknown Service,CLOSED,UNKNOWN
473,Unknown Service,CLOSED,UNKNOWN
474,Unknown Service,CLOSED,UNKNOWN
475,Unknown Service,CLOSED,UNKNOWN
476,Unknown Service,CLOSED,UNKNOWN
477,Unknown Service,CLOSED,UNKNOWN
478,Unknown Service,CLOSED,UNKNOWN
479,Unknown Service,CLOSED,UNKNOWN
480,Unknown Service,CLOSED,UNKNOWN
481,Unknown Service,CLOSED,UNKNOWN
482,Unknown Service,CLOSED,UNKNOWN
483,Unknown Service,CLOSED,UNKNOWN
484,Unknown Service,CLOSED,UNKNOWN
485,Unknown Service,CLOSED,UNKNOWN
486,Unknown Service,CLOSED,UNKNOWN
487,Unknown Service,CLOSED,UNKNOWN
488,Unknown Service,CLOSED,UNKNOWN
489,Unknown Service,CLOSED,UNKNOWN
490,Unknown Service,CLOSED,UNKNOWN
491,Unknown Service,CLOSED,UNKNOWN
492,Unknown Service,CLOSED,UNKNOWN
493,Unknown Service,CLOSED,UNKNOWN
494,Unknown Service,CLOSED,UNKNOWN
495,Unknown Service,CLOSED,UNKNOWN
496,Unknown Service,CLOSED,UNKNOWN
497,Unknown Service,CLOSED,UNKNOWN
498,Unknown Service,CLOSED,UNKNOWN
499,Unknown Service,CLOSED,UNKNOWN
500,ISAKMP (VPN),CLOSED,UNKNOWN
