============================================================
NETWORK PORT SCAN REPORT
============================================================

Scan Date : 2026-07-07 10:57:27.501217

TARGET INFORMATION
------------------------------------------------------------
Target IP   : 10.214.101.248
Hostname    : ORG-DKMNU-COMPNY-DESKTOP-7BHHFD
Port Range  : 130 - 14000
Duration    : 140.86 seconds

SCAN SUMMARY
------------------------------------------------------------
Open Ports     : 6
Closed Ports   : 13865
Filtered Ports : 0
Total Scanned  : 13871

OPEN PORTS
------------------------------------------------------------
Port 265 --> Unknown Service --> CLOSED
Port 266 --> Unknown Service --> CLOSED
Port 267 --> Unknown Service --> CLOSED
Port 268 --> Unknown Service --> CLOSED
Port 269 --> Unknown Service --> CLOSED
Port 270 --> Unknown Service --> CLOSED
Port 271 --> Unknown Service --> CLOSED
Port 272 --> Unknown Service --> CLOSED
Port 273 --> Unknown Service --> CLOSED
Port 274 --> Unknown Service --> CLOSED
Port 275 --> Unknown Service --> CLOSED
Port 276 --> Unknown Service --> CLOSED
Port 277 --> Unknown Service --> CLOSED
Port 278 --> Unknown Service --> CLOSED
Port 279 --> Unknown Service --> CLOSED
Port 280 --> Unknown Service --> CLOSED
Port 281 --> Unknown Service --> CLOSED
Port 282 --> Unknown Service --> CLOSED
Port 283 --> Unknown Service --> CLOSED
Port 284 --> Unknown Service --> CLOSED
Port 285 --> Unknown Service --> CLOSED
Port 286 --> Unknown Service --> CLOSED
Port 287 --> Unknown Service --> CLOSED
Port 288 --> Unknown Service --> CLOSED
Port 289 --> Unknown Service --> CLOSED
Port 290 --> Unknown Service --> CLOSED
Port 291 --> Unknown Service --> CLOSED
Port 292 --> Unknown Service --> CLOSED
Port 293 --> Unknown Service --> CLOSED
Port 294 --> Unknown Service --> CLOSED
Port 295 --> Unknown Service --> CLOSED
Port 296 --> Unknown Service --> CLOSED
Port 297 --> Unknown Service --> CLOSED
Port 298 --> Unknown Service --> CLOSED
Port 299 --> Unknown Service --> CLOSED
Port 300 --> Unknown Service --> CLOSED
Port 301 --> Unknown Service --> CLOSED
Port 302 --> Unknown Service --> CLOSED
Port 303 --> Unknown Service --> CLOSED
Port 304 --> Unknown Service --> CLOSED
Port 305 --> Unknown Service --> CLOSED
Port 306 --> Unknown Service --> CLOSED
Port 307 --> Unknown Service --> CLOSED
Port 308 --> Unknown Service --> CLOSED
Port 309 --> Unknown Service --> CLOSED
Port 310 --> Unknown Service --> CLOSED
Port 311 --> Unknown Service --> CLOSED
Port 312 --> Unknown Service --> CLOSED
Port 313 --> Unknown Service --> CLOSED
Port 314 --> Unknown Service --> CLOSED
Port 315 --> Unknown Service --> CLOSED
Port 316 --> Unknown Service --> CLOSED
Port 317 --> Unknown Service --> CLOSED
Port 318 --> Unknown Service --> CLOSED
Port 319 --> Unknown Service --> CLOSED
Port 320 --> Unknown Service --> CLOSED
Port 321 --> Unknown Service --> CLOSED
Port 322 --> Unknown Service --> CLOSED
Port 323 --> Unknown Service --> CLOSED
Port 324 --> Unknown Service --> CLOSED
Port 325 --> Unknown Service --> CLOSED
Port 326 --> Unknown Service --> CLOSED
Port 327 --> Unknown Service --> CLOSED
Port 328 --> Unknown Service --> CLOSED
Port 329 --> Unknown Service --> CLOSED
Port 330 --> Unknown Service --> CLOSED
Port 331 --> Unknown Service --> CLOSED
Port 332 --> Unknown Service --> CLOSED
Port 333 --> Unknown Service --> CLOSED
Port 334 --> Unknown Service --> CLOSED
Port 335 --> Unknown Service --> CLOSED
Port 336 --> Unknown Service --> CLOSED
Port 337 --> Unknown Service --> CLOSED
Port 338 --> Unknown Service --> CLOSED
Port 339 --> Unknown Service --> CLOSED
Port 340 --> Unknown Service --> CLOSED
Port 341 --> Unknown Service --> CLOSED
Port 342 --> Unknown Service --> CLOSED
Port 343 --> Unknown Service --> CLOSED
Port 344 --> Unknown Service --> CLOSED
Port 345 --> Unknown Service --> CLOSED
Port 346 --> Unknown Service --> CLOSED
Port 347 --> Unknown Service --> CLOSED
Port 348 --> Unknown Service --> CLOSED
Port 349 --> Unknown Service --> CLOSED
Port 350 --> Unknown Service --> CLOSED
Port 351 --> Unknown Service --> CLOSED
Port 352 --> Unknown Service --> CLOSED
Port 353 --> Unknown Service --> CLOSED
Port 354 --> Unknown Service --> CLOSED
Port 355 --> Unknown Service --> CLOSED
Port 356 --> Unknown Service --> CLOSED
Port 357 --> Unknown Service --> CLOSED
Port 358 --> Unknown Service --> CLOSED
Port 359 --> Unknown Service --> CLOSED
Port 360 --> Unknown Service --> CLOSED
Port 361 --> Unknown Service --> CLOSED
Port 362 --> Unknown Service --> CLOSED
Port 363 --> Unknown Service --> CLOSED
Port 364 --> Unknown Service --> CLOSED
Port 365 --> Unknown Service --> CLOSED
Port 366 --> Unknown Service --> CLOSED
Port 367 --> Unknown Service --> CLOSED
Port 368 --> Unknown Service --> CLOSED
Port 369 --> Unknown Service --> CLOSED
Port 370 --> Unknown Service --> CLOSED
Port 371 --> Unknown Service --> CLOSED
Port 372 --> Unknown Service --> CLOSED
Port 373 --> Unknown Service --> CLOSED
Port 374 --> Unknown Service --> CLOSED
Port 375 --> Unknown Service --> CLOSED
Port 376 --> Unknown Service --> CLOSED
Port 377 --> Unknown Service --> CLOSED
Port 378 --> Unknown Service --> CLOSED
Port 379 --> Unknown Service --> CLOSED
Port 380 --> Unknown Service --> CLOSED
Port 381 --> Unknown Service --> CLOSED
Port 382 --> Unknown Service --> CLOSED
Port 383 --> Unknown Service --> CLOSED
Port 384 --> Unknown Service --> CLOSED
Port 385 --> Unknown Service --> CLOSED
Port 386 --> Unknown Service --> CLOSED
Port 387 --> Unknown Service --> CLOSED
Port 388 --> Unknown Service --> CLOSED
Port 389 --> LDAP --> CLOSED
Port 390 --> Unknown Service --> CLOSED
Port 391 --> Unknown Service --> CLOSED
Port 392 --> Unknown Service --> CLOSED
Port 393 --> Unknown Service --> CLOSED
Port 394 --> Unknown Service --> CLOSED
Port 395 --> Unknown Service --> CLOSED
Port 396 --> Unknown Service --> CLOSED
Port 397 --> Unknown Service --> CLOSED
Port 398 --> Unknown Service --> CLOSED
Port 399 --> Unknown Service --> CLOSED
Port 400 --> Unknown Service --> CLOSED
Port 401 --> Unknown Service --> CLOSED
Port 402 --> Unknown Service --> CLOSED
Port 403 --> Unknown Service --> CLOSED
Port 404 --> Unknown Service --> CLOSED
Port 405 --> Unknown Service --> CLOSED
Port 406 --> Unknown Service --> CLOSED
Port 407 --> Unknown Service --> CLOSED
Port 408 --> Unknown Service --> CLOSED
Port 409 --> Unknown Service --> CLOSED
Port 410 --> Unknown Service --> CLOSED
Port 411 --> Unknown Service --> CLOSED
Port 412 --> Unknown Service --> CLOSED
Port 413 --> Unknown Service --> CLOSED
Port 414 --> Unknown Service --> CLOSED
Port 415 --> Unknown Service --> CLOSED
Port 416 --> Unknown Service --> CLOSED
Port 417 --> Unknown Service --> CLOSED
Port 418 --> Unknown Service --> CLOSED
Port 419 --> Unknown Service --> CLOSED
Port 420 --> Unknown Service --> CLOSED
Port 421 --> Unknown Service --> CLOSED
Port 422 --> Unknown Service --> CLOSED
Port 423 --> Unknown Service --> CLOSED
